date,hour,day_of_week,street,subtype,roadtype,geo
2021-09-28,21,3,I-20 W,,3,POINT(-84.455092 33.750938)
2021-09-28,11,3,I-75 N,,3,POINT(-84.384045 33.748587)
2021-09-28,12,3,I-75 S,,3,POINT(-84.405387 33.802006)
2021-09-28,21,3,I-75 S,,3,POINT(-84.391467 33.785851)
2021-09-28,14,3,I-75 S,,3,POINT(-84.391523 33.787512)
2021-09-28,20,3,E Lake Rd,,6,POINT(-84.319284 33.76954)
2021-09-28,19,3,to I-85 S,,4,POINT(-84.384343 33.804266)
2021-09-28,16,3,I-75 N HOV,,3,POINT(-84.382191 33.749897)
2021-09-28,14,3,I-75 S HOV,,3,POINT(-84.391292 33.787223)
2021-09-28,19,3,Kings Ct NE,,1,POINT(-84.357023 33.788585)
2021-09-28,21,3,Briarcliff Rd,,7,POINT(-84.336386 33.793246)
2021-09-28,19,3,Briarcliff Rd,,7,POINT(-84.336416 33.799567)
2021-09-28,5,3,Carnegie Way NW,,1,POINT(-84.389624 33.759434)
2021-09-28,13,3,Northside Dr NW,,6,POINT(-84.407809 33.802419)
2021-09-28,20,3,Northside Dr NW,,6,POINT(-84.406348 33.77141)
2021-09-28,20,3,Northside Dr NW,,6,POINT(-84.407782 33.789234)
2021-09-28,21,3,Bellemeade Ave NW,,1,POINT(-84.408515 33.80028)
2021-09-28,15,3,Chattahoochee Ave NW,,2,POINT(-84.418409 33.799679)
2021-09-28,16,3,Exit 61A: Maynard Ter,,4,POINT(-84.336488 33.74492)
2021-09-28,16,3,Ivan Allen Junior Blvd NW,,7,POINT(-84.395482 33.764601)
2021-09-28,0,3,Centennial Olympic Park Dr,,7,POINT(-84.393068 33.758263)
2021-09-28,0,3,Centennial Olympic Park Dr,,7,POINT(-84.392091 33.759666)
2021-09-28,5,3,Centennial Olympic Park Dr,,7,POINT(-84.392874 33.758421)
2021-09-28,20,3,John Lewis Freedom Pkwy NE,,6,POINT(-84.369508 33.760526)
2021-09-28,21,3,Exit 85: I-75 N / Marietta / Chattanooga,,4,POINT(-84.392172 33.799421)
2021-09-28,22,3,,JAM_HEAVY_TRAFFIC,4,POINT(-84.390144 33.765598)
2021-09-28,12,3,,JAM_HEAVY_TRAFFIC,4,POINT(-84.405832 33.801995)
2021-09-28,21,3,I-20 E,JAM_HEAVY_TRAFFIC,3,POINT(-84.383995 33.743285)
2021-09-28,11,3,I-20 E,JAM_HEAVY_TRAFFIC,3,POINT(-84.440688 33.748129)
2021-09-28,21,3,I-20 E,JAM_HEAVY_TRAFFIC,3,POINT(-84.379056 33.743255)
2021-09-28,20,3,I-20 E,JAM_HEAVY_TRAFFIC,3,POINT(-84.351133 33.744974)
2021-09-28,12,3,I-20 E,JAM_HEAVY_TRAFFIC,3,POINT(-84.426334 33.74455)
2021-09-28,12,3,I-20 E,JAM_HEAVY_TRAFFIC,3,POINT(-84.429916 33.746281)
2021-09-28,21,3,I-20 E,JAM_HEAVY_TRAFFIC,3,POINT(-84.443328 33.749949)
2021-09-28,21,3,I-20 E,JAM_HEAVY_TRAFFIC,3,POINT(-84.358078 33.743416)
2021-09-28,21,3,I-20 E,JAM_HEAVY_TRAFFIC,3,POINT(-84.417576 33.741431)
2021-09-28,20,3,I-20 E,JAM_HEAVY_TRAFFIC,3,POINT(-84.413997 33.741287)
2021-09-28,20,3,I-20 E,JAM_HEAVY_TRAFFIC,3,POINT(-84.341876 33.745333)
2021-09-28,12,3,I-20 W,JAM_HEAVY_TRAFFIC,3,POINT(-84.323288 33.728802)
2021-09-28,12,3,I-20 W,JAM_HEAVY_TRAFFIC,3,POINT(-84.328294 33.739907)
2021-09-28,11,3,I-20 W,JAM_HEAVY_TRAFFIC,3,POINT(-84.347101 33.745656)
2021-09-28,12,3,I-20 W,JAM_HEAVY_TRAFFIC,3,POINT(-84.380105 33.74344)
2021-09-28,22,3,I-20 W,JAM_HEAVY_TRAFFIC,3,POINT(-84.374897 33.743486)
2021-09-28,21,3,I-20 W,JAM_HEAVY_TRAFFIC,3,POINT(-84.439394 33.747692)
2021-09-28,19,3,I-20 W,JAM_HEAVY_TRAFFIC,3,POINT(-84.378214 33.743448)
2021-09-28,12,3,I-20 W,JAM_HEAVY_TRAFFIC,3,POINT(-84.324215 33.735778)
2021-09-28,19,3,I-20 W,JAM_HEAVY_TRAFFIC,3,POINT(-84.42173 33.742433)
2021-09-28,17,3,I-20 W,JAM_HEAVY_TRAFFIC,3,POINT(-84.437618 33.747222)
2021-09-28,20,3,I-20 W,JAM_HEAVY_TRAFFIC,3,POINT(-84.451332 33.751102)
2021-09-28,21,3,I-20 W,JAM_HEAVY_TRAFFIC,3,POINT(-84.448679 33.751594)
2021-09-28,11,3,I-75 N,JAM_HEAVY_TRAFFIC,3,POINT(-84.393329 33.727263)
2021-09-28,18,3,I-75 N,JAM_HEAVY_TRAFFIC,3,POINT(-84.378919 33.752983)
2021-09-28,12,3,I-75 N,JAM_HEAVY_TRAFFIC,3,POINT(-84.397931 33.717184)
2021-09-28,11,3,I-75 N,JAM_HEAVY_TRAFFIC,3,POINT(-84.378625 33.758758)
2021-09-28,21,3,I-75 N,JAM_HEAVY_TRAFFIC,3,POINT(-84.397995 33.717031)
2021-09-28,11,3,I-75 N,JAM_HEAVY_TRAFFIC,3,POINT(-84.390823 33.778615)
2021-09-28,17,3,I-75 N,JAM_HEAVY_TRAFFIC,3,POINT(-84.391885 33.734952)
2021-09-28,16,3,I-75 N,JAM_HEAVY_TRAFFIC,3,POINT(-84.378673 33.758965)
2021-09-28,12,3,I-75 N,JAM_HEAVY_TRAFFIC,3,POINT(-84.390817 33.789034)
2021-09-28,10,3,I-75 N,JAM_HEAVY_TRAFFIC,3,POINT(-84.392347 33.730324)
2021-09-28,22,3,I-75 N,JAM_HEAVY_TRAFFIC,3,POINT(-84.396823 33.719106)
2021-09-28,11,3,I-75 N,JAM_HEAVY_TRAFFIC,3,POINT(-84.378411 33.757817)
2021-09-28,19,3,I-75 N,JAM_HEAVY_TRAFFIC,3,POINT(-84.378649 33.753538)
2021-09-28,20,3,I-75 N,JAM_HEAVY_TRAFFIC,3,POINT(-84.390262 33.744558)
2021-09-28,12,3,I-75 N,JAM_HEAVY_TRAFFIC,3,POINT(-84.390546 33.744257)
2021-09-28,11,3,I-75 N,JAM_HEAVY_TRAFFIC,3,POINT(-84.38475 33.748298)
2021-09-28,19,3,I-75 N,JAM_HEAVY_TRAFFIC,3,POINT(-84.387006 33.747181)
2021-09-28,12,3,I-75 N,JAM_HEAVY_TRAFFIC,3,POINT(-84.379103 33.759885)
2021-09-28,10,3,I-75 N,JAM_HEAVY_TRAFFIC,3,POINT(-84.39272 33.72922)
2021-09-28,19,3,I-75 N,JAM_HEAVY_TRAFFIC,3,POINT(-84.379761 33.751814)
2021-09-28,20,3,I-75 N,JAM_HEAVY_TRAFFIC,3,POINT(-84.378417 33.757853)
2021-09-28,11,3,I-75 N,JAM_HEAVY_TRAFFIC,3,POINT(-84.380444 33.761292)
2021-09-28,21,3,I-75 N,JAM_HEAVY_TRAFFIC,3,POINT(-84.392944 33.728593)
2021-09-28,12,3,I-75 N,JAM_HEAVY_TRAFFIC,3,POINT(-84.386322 33.747599)
2021-09-28,11,3,I-75 N,JAM_HEAVY_TRAFFIC,3,POINT(-84.378347 33.757063)
2021-09-28,12,3,I-75 N,JAM_HEAVY_TRAFFIC,3,POINT(-84.395384 33.721056)
