index,day_of_week,month,hour,x_coord,y_coord,delays
0,5.0,4.0,0.0,-84.407022,33.802288,122.075
1,5.0,4.0,1.0,-84.407022,33.802288,143.375
2,5.0,4.0,2.0,-84.407022,33.802288,143.375
3,5.0,4.0,3.0,-84.407022,33.802288,141.225
4,5.0,4.0,4.0,-84.407022,33.802288,143.475
5,5.0,4.0,5.0,-84.407022,33.802288,143.475
6,5.0,4.0,6.0,-84.407022,33.802288,150.125
7,5.0,4.0,7.0,-84.407022,33.802288,151.575
8,5.0,4.0,8.0,-84.407022,33.802288,144.0
9,5.0,4.0,9.0,-84.407022,33.802288,144.0
10,5.0,4.0,10.0,-84.407022,33.802288,137.275
11,5.0,4.0,11.0,-84.407022,33.802288,137.275
12,5.0,4.0,12.0,-84.407022,33.802288,113.05833333333335
13,5.0,4.0,13.0,-84.407022,33.802288,110.71166666666667
14,5.0,4.0,14.0,-84.407022,33.802288,116.14166666666668
15,5.0,4.0,15.0,-84.407022,33.802288,143.50833333333333
16,5.0,4.0,16.0,-84.407022,33.802288,115.48333333333335
17,5.0,4.0,17.0,-84.407022,33.802288,115.78333333333335
18,5.0,4.0,18.0,-84.407022,33.802288,114.23333333333335
19,5.0,4.0,19.0,-84.407022,33.802288,115.775
20,5.0,4.0,20.0,-84.407022,33.802288,129.12198412698413
21,5.0,4.0,21.0,-84.407022,33.802288,128.74753968253967
22,5.0,4.0,22.0,-84.407022,33.802288,138.91854437229435
23,5.0,4.0,23.0,-84.407022,33.802288,136.0218777056277
24,5.0,4.0,0.0,-84.365707,33.74377,112.98666666666668
25,5.0,4.0,1.0,-84.365707,33.74377,118.71666666666667
26,5.0,4.0,2.0,-84.365707,33.74377,119.3
27,5.0,4.0,3.0,-84.365707,33.74377,113.2
28,5.0,4.0,4.0,-84.365707,33.74377,108.325
29,5.0,4.0,5.0,-84.365707,33.74377,114.36666666666667
30,5.0,4.0,6.0,-84.365707,33.74377,120.96666666666667
31,5.0,4.0,7.0,-84.365707,33.74377,121.06666666666668
32,5.0,4.0,8.0,-84.365707,33.74377,109.21666666666665
33,5.0,4.0,9.0,-84.365707,33.74377,110.31666666666668
34,5.0,4.0,10.0,-84.365707,33.74377,100.46666666666667
35,5.0,4.0,11.0,-84.365707,33.74377,113.24333333333334
36,5.0,4.0,12.0,-84.365707,33.74377,109.13166666666669
37,5.0,4.0,13.0,-84.365707,33.74377,97.33833333333334
38,5.0,4.0,14.0,-84.365707,33.74377,127.425
39,5.0,4.0,15.0,-84.365707,33.74377,133.81666666666666
40,5.0,4.0,16.0,-84.365707,33.74377,152.41666666666669
41,5.0,4.0,17.0,-84.365707,33.74377,179.98833333333332
42,5.0,4.0,18.0,-84.365707,33.74377,131.355
43,5.0,4.0,19.0,-84.365707,33.74377,130.84166666666667
44,5.0,4.0,20.0,-84.365707,33.74377,155.06666666666666
45,5.0,4.0,21.0,-84.365707,33.74377,201.68041666666664
46,5.0,4.0,22.0,-84.365707,33.74377,213.8775
47,5.0,4.0,23.0,-84.365707,33.74377,252.34166666666664
48,5.0,4.0,0.0,-84.426896,33.771896,216.75
49,5.0,4.0,1.0,-84.426896,33.771896,175.225
50,5.0,4.0,2.0,-84.426896,33.771896,180.94333333333333
51,5.0,4.0,3.0,-84.426896,33.771896,174.51
52,5.0,4.0,4.0,-84.426896,33.771896,174.435
53,5.0,4.0,5.0,-84.426896,33.771896,178.885
54,5.0,4.0,6.0,-84.426896,33.771896,197.98499999999999
55,5.0,4.0,7.0,-84.426896,33.771896,191.785
56,5.0,4.0,8.0,-84.426896,33.771896,185.425
57,5.0,4.0,9.0,-84.426896,33.771896,188.055
58,5.0,4.0,10.0,-84.426896,33.771896,190.555
59,5.0,4.0,11.0,-84.426896,33.771896,235.98833333333332
60,5.0,4.0,12.0,-84.426896,33.771896,241.28166666666667
61,5.0,4.0,13.0,-84.426896,33.771896,206.29166666666669
62,5.0,4.0,14.0,-84.426896,33.771896,223.1416666666667
63,5.0,4.0,15.0,-84.426896,33.771896,217.9666666666667
64,5.0,4.0,16.0,-84.426896,33.771896,179.225
65,5.0,4.0,17.0,-84.426896,33.771896,159.8
66,5.0,4.0,18.0,-84.426896,33.771896,165.78416666666666
67,5.0,4.0,19.0,-84.426896,33.771896,165.07916666666668
68,5.0,4.0,20.0,-84.426896,33.771896,153.16666666666669
69,5.0,4.0,21.0,-84.426896,33.771896,131.19666666666666
70,5.0,4.0,22.0,-84.426896,33.771896,169.25
71,5.0,4.0,23.0,-84.426896,33.771896,123.78333333333335
72,5.0,4.0,0.0,-84.384096,33.764992,238.975
73,5.0,4.0,1.0,-84.384096,33.764992,240.175
74,5.0,4.0,2.0,-84.384096,33.764992,223.9416666666667
75,5.0,4.0,3.0,-84.384096,33.764992,252.475
76,5.0,4.0,4.0,-84.384096,33.764992,185.775
77,5.0,4.0,5.0,-84.384096,33.764992,172.10833333333332
78,5.0,4.0,6.0,-84.384096,33.764992,185.00833333333333
79,5.0,4.0,7.0,-84.384096,33.764992,182.65833333333333
80,5.0,4.0,8.0,-84.384096,33.764992,181.925
81,5.0,4.0,9.0,-84.384096,33.764992,251.3416666666667
82,5.0,4.0,10.0,-84.384096,33.764992,196.59166666666667
83,5.0,4.0,11.0,-84.384096,33.764992,201.69166666666666
84,5.0,4.0,12.0,-84.384096,33.764992,217.7
85,5.0,4.0,13.0,-84.384096,33.764992,218.05
86,5.0,4.0,14.0,-84.384096,33.764992,208.45
87,5.0,4.0,15.0,-84.384096,33.764992,239.625
88,5.0,4.0,16.0,-84.384096,33.764992,209.925
89,5.0,4.0,17.0,-84.384096,33.764992,201.025
90,5.0,4.0,18.0,-84.384096,33.764992,185.475
91,5.0,4.0,19.0,-84.384096,33.764992,142.25
92,5.0,4.0,20.0,-84.384096,33.764992,136.55
93,5.0,4.0,21.0,-84.384096,33.764992,156.45
94,5.0,4.0,22.0,-84.384096,33.764992,162.73666666666668
95,5.0,4.0,23.0,-84.384096,33.764992,125.0
