,hour,day_of_week,roadtype,xccord,ycoord,jam_level
14731,22,5,3.0,-84.39099,33.785571,3
5275,12,3,2.0,-84.404626,33.79614,2
4889,22,3,3.0,-84.392324,33.79157,3
3924,21,5,3.0,-84.390272,33.80034,4
2788,22,6,3.0,-84.395306,33.79706,3
9062,19,6,3.0,-84.378392,33.75784,3
250,11,3,3.0,-84.414851,33.74133,2
1442,20,6,6.0,-84.391614,33.79883,3
13277,14,3,3.0,-84.379337,33.75229,3
11017,9,3,3.0,-84.391158,33.7782,4
15484,19,2,3.0,-84.381197,33.76186,3
9257,20,6,4.0,-84.393013,33.79568,3
1171,19,6,4.0,-84.348064,33.74493,2
14855,16,5,3.0,-84.378502,33.75397,4
14817,16,5,3.0,-84.469301,33.75712,4
3672,17,1,4.0,-84.392469,33.79917,3
955,17,6,3.0,-84.391135,33.77801,3
5562,20,6,4.0,-84.384464,33.74361,2
15771,18,1,3.0,-84.384321,33.80413,2
5530,20,6,3.0,-84.380264,33.74344,4
5981,18,5,3.0,-84.391574,33.78883,4
995,23,6,3.0,-84.393513,33.79411,2
6310,13,3,4.0,-84.384543,33.74362,3
8869,16,5,3.0,-84.39369,33.796211,3
8535,16,2,7.0,-84.349,33.747617,3
1173,21,6,4.0,-84.395484,33.7205,3
11945,17,7,4.0,-84.358642,33.74293,4
12872,13,2,3.0,-84.405203,33.80196,3
4915,12,3,3.0,-84.408968,33.80307,2
14326,20,1,3.0,-84.388874,33.74574,2
1229,22,6,6.0,-84.407848,33.7966,3
14107,23,2,3.0,-84.384103,33.76396,3
12675,15,4,6.0,-84.319397,33.77126,2
6777,23,7,7.0,-84.393428,33.7404,4
1693,0,7,4.0,-84.389816,33.74601,3
10160,12,4,3.0,-84.405489,33.80202,4
14016,18,3,6.0,-84.317692,33.76819,3
1373,18,6,3.0,-84.411481,33.80427,3
14740,17,5,7.0,-84.372067,33.75382,3
8920,21,5,2.0,-84.416133,33.79961,4
15085,12,5,4.0,-84.390226,33.76576,3
2983,22,4,3.0,-84.381628,33.75016,3
3754,22,1,4.0,-84.386483,33.74396,3
13618,23,3,1.0,-84.376662,33.74708,3
5264,21,3,7.0,-84.38921,33.783846,3
12487,22,4,3.0,-84.405224,33.80197,3
1207,13,6,3.0,-84.393019,33.79386,3
11814,23,7,3.0,-84.380208,33.76111,3
8239,11,6,3.0,-84.392072,33.73147,3
13905,12,3,4.0,-84.392736,33.7447,3
4507,2,7,3.0,-84.387296,33.76661,3
16093,21,2,3.0,-84.392267,33.7921,3
3639,1,1,7.0,-84.389032,33.76188,3
13465,12,3,4.0,-84.387726,33.74462,3
15591,11,2,3.0,-84.390828,33.78356,4
6366,20,3,2.0,-84.337051,33.7741,3
8709,14,5,6.0,-84.349439,33.72273,4
14991,18,5,3.0,-84.393519,33.72745,3
6195,19,3,3.0,-84.390825,33.78385,4
5078,18,3,4.0,-84.377489,33.76066,4
10225,21,4,2.0,-84.403462,33.74263,4
16163,19,6,3.0,-84.395067,33.72147,4
1962,21,2,3.0,-84.383974,33.8044,3
5614,21,6,3.0,-84.39369,33.796232,3
3622,19,1,7.0,-84.374757,33.75434,3
